Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains
2023-10-06,Valiant Laboratories Limited,152.46,20.83,73.64,16.06,29.76,140,161.0,15.0,95.0,94.2,-32.14
2023-10-03,JSW Infrastructure Limited,2800.0,57.09,15.99,10.32,37.37,119,143.0,20.17,295.95,295.95,148.7
2023-10-04,Updater Services Limited,640.0,4.48,0.85,1.39,2.9,300,299.9,-0.03,260.0,259.8,-13.33
2023-10-03,Manoj Vaibhav Gems,270.2,1.06,5.18,1.66,2.25,215,215.0,0.0,205.7,205.77,-4.33
2023-09-27,Signature Global India Limited,730.0,12.71,13.54,6.82,11.88,385,445.0,15.58,1113.75,1112.5,189.29
2023-09-27,Sai Silks (Kalamandir) Limited,1201.0,12.35,2.47,0.88,4.4,222,230.1,3.65,171.3,171.11,-22.84
2023-09-28,Yatra Online Limited,775.0,2.05,0.42,2.11,1.61,142,130.0,-8.45,130.67,129.82,-7.98
2023-09-22,Samhi Hotels Limited,1370.1,8.82,1.22,1.11,5.33,126,130.55,3.61,219.65,220.24,74.33
2023-09-22,Zaggle Prepaid Ocean Limited,563.38,16.73,8.85,5.94,12.57,164,162.0,-1.22,376.8,376.8,129.76
2023-09-20,R R Kabel Limited,1964.01,52.26,13.23,2.13,18.69,1035,1179.0,13.91,1211.3,1209.8,17.03
2023-09-21,EMS Limited,321.25,0.67,29.73,16.62,15.05,211,281.55,33.44,580.5,580.2,175.12
2023-09-18,Jupiter Life Line Limited,869.08,187.32,34.75,7.73,63.72,735,960.0,30.61,1406.65,1408.0,91.38
2023-09-11,Ratnaveer Precision Limited,165.03,133.05,135.21,54.01,93.99,98,128.0,30.61,138.5,138.79,41.33
2023-09-11,Rishabh Instruments Limited,490.78,72.54,31.29,8.44,31.65,441,460.0,4.31,286.45,287.25,-35.05
2023-09-05,Vishnu Prakash R P Limited,308.61,171.69,111.03,32.02,87.82,99,163.3,64.95,155.2,155.72,56.77
2023-08-31,Aeroflex Industries Limited,351.0,194.73,126.13,34.41,97.11,108,197.4,82.78,180.75,180.5,67.36
2023-08-29,Pyramid Technoplast Limited,153.05,9.94,32.24,14.72,18.29,166,185.0,11.45,160.45,160.75,-3.34
2023-08-23,TVS Supply Chain Solutions Limited,880.0,1.35,2.35,7.61,2.78,197,206.3,4.72,132.4,132.39,-32.79
2023-08-18,Concord Biotech Limited,1550.52,67.67,16.99,3.78,24.87,741,900.05,21.46,1624.0,1617.6,119.16
2023-08-16,SBFC Finance Limited,1025.0,192.9,49.09,10.99,70.16,57,81.99,43.84,104.4,104.25,83.16
2023-08-07,Yatharth Hospital & Trauma Care Services Limited,686.55,85.1,37.22,8.34,36.16,300,304.0,1.33,717.0,717.5,139.0
2023-07-27,Netweb Technologies India Limited,631.0,228.91,81.81,19.15,90.36,500,942.5,88.5,2111.5,2115.0,322.3
2023-07-21,Utkarsh Small Finance Bank Limited,500.0,124.85,81.64,72.11,101.91,25,39.95,59.8,20.75,20.7,-17.0
2023-07-14,Senco Gold Limited,405.0,180.94,64.99,15.46,73.35,317,431.0,35.96,337.0,338.35,6.31
2023-07-10,Cyient DLM Limited,592.0,90.44,45.05,49.22,67.31,265,401.0,51.32,430.0,428.7,62.26
2023-07-07,Ideaforge Technologies Limited,567.25,125.81,80.58,85.2,106.06,672,1305.1,94.21,459.25,462.0,-31.66
2023-07-04,HMA Agro Industries Limited,480.0,1.74,2.97,0.96,1.62,585,615.0,5.13,30.5,30.64,-94.79
2023-06-16,IKIO Technologies Limited (formerly IKIO Lighting Limited),606.5,163.58,63.35,13.86,66.3,285,391.0,37.19,189.5,189.6,-33.51
2023-05-19,Nexus Select Trust,3200.0,0.0,0.0,0.0,3.61,100,102.27,2.27,149.01,149.03,49.01
2023-05-09,Mankind Pharma Limited,4326.36,49.16,3.8,0.92,15.32,1080,1300.0,20.37,2447.3,2442.3,126.6
2023-04-18,Avalon Technologies Limited,865.0,3.57,0.41,0.84,2.21,436,431.0,-1.15,884.2,890.0,102.8
2023-04-03,Udayshivakumar Infosolutions Limited,66.0,40.47,60.42,14.1,30.63,35,35.0,0.0,36.0,36.23,2.86
2023-03-23,Global Surfaces Limited,154.98,8.95,33.1,5.12,12.21,140,163.0,16.43,122.9,123.42,-12.21
2023-03-14,Divgi Torqtransfer Systems Limited,412.12,7.83,1.4,4.31,5.44,590,600.0,1.69,649.05,652.25,10.01
2023-01-12,Sah Polymers Limited,66.3,2.4,32.69,39.78,17.46,65,85.0,30.77,114.5,115.0,76.15
2023-01-04,Radiant Cash Management Services Limited,256.64,1.01,0.66,0.21,0.53,94,99.3,5.64,54.18,54.13,-42.36
2022-12-30,Elin Electronics Limited,475.0,4.51,3.29,2.2,3.09,247,243.0,-1.62,171.9,170.0,-30.4
2022-12-29,KFin Technologies Limited,1500.0,4.17,0.23,1.36,2.59,366,369.0,0.82,1088.35,1095.3,197.36
2022-12-23,Landmark Cars Limited,552.0,8.71,1.32,0.59,3.06,506,471.3,-6.86,491.95,490.0,-2.78
2022-12-23,Abans Financial Services Limited,345.6,4.1,1.48,0.4,1.1,270,270.0,0.0,221.45,220.51,-17.98
2022-12-22,Sula Vineyards Limited,960.35,4.13,1.51,1.65,2.33,357,358.0,0.28,250.0,249.9,-29.97
2022-12-12,Uniparts India Limited,835.61,67.14,17.86,4.63,25.32,577,575.0,-0.35,390.9,390.6,-32.25
2022-12-08,Dharmaj Crop Guard Limited,251.09,48.21,52.29,21.53,35.49,237,266.0,12.24,319.5,321.0,34.81
2022-11-24,Keystone Realtors Limited,635.0,3.84,3.03,0.53,2.01,541,555.0,2.59,603.75,609.0,11.6
2022-11-23,Inox Green Energy Limited,740.0,1.05,0.47,4.7,1.55,65,60.5,-6.92,160.0,160.73,146.15
2022-11-22,Kaynes Technology India Limited,857.82,98.47,21.21,4.1,34.16,587,775.0,32.03,5855.85,5865.0,897.59
2022-11-21,Archean Chemical Industries Limited,1462.31,48.91,14.9,9.96,32.23,407,449.0,10.32,625.0,626.55,53.56
2022-11-21,Five Star Business Finance Limited,1588.51,1.77,0.61,0.11,0.7,474,449.95,-5.07,575.9,577.45,21.5
2022-11-16,Bikaji Foods International Limited,880.85,80.63,7.1,4.77,26.67,300,321.15,7.05,725.95,724.35,141.98
2022-11-16,Global Health Limited,2205.57,28.64,4.02,0.88,9.58,336,398.15,18.5,1380.9,1383.0,310.98
2022-11-15,Fusion Finance Ltd,1103.99,8.59,1.38,0.51,2.95,368,360.5,-2.04,154.05,153.26,-58.14
2022-11-11,DCX Systems Ltd,500.0,84.32,43.97,61.77,69.79,207,286.25,38.29,251.75,251.8,21.62
2022-10-20,Tracxn Technologies,309.38,1.66,0.23,2.39,0.71,80,83.0,3.75,52.81,52.85,-33.99
2022-10-17,Electronics Mart India,500.0,169.54,63.59,19.72,71.93,59,89.4,51.53,119.4,119.28,102.37
2022-09-26,Harsha Engineers,755.0,178.26,40.36,12.44,47.19,330,444.0,34.55,415.0,414.8,25.76
2022-09-15,Tamilnad Mercantile,807.84,1.62,2.94,6.48,2.86,510,510.0,0.0,429.5,429.0,-15.78
2022-09-06,Dreamfolks Services,562.1,70.53,37.66,43.66,56.68,326,505.0,54.91,143.9,144.48,-55.86
2022-08-26,Syrma SGS Technologies,840.13,87.56,7.13,2.84,15.59,220,262.0,19.09,699.0,701.55,217.73
2022-06-03,Aether Industries,808.04,17.57,1.33,0.59,2.91,642,706.15,9.99,731.45,731.4,13.93
2022-06-01,eMudhra Ltd,412.79,4.05,1.28,2.61,2.72,256,271.0,5.86,762.0,762.0,197.66
2022-05-30,Ethos Limited,402.26,1.06,0.76,0.32,0.61,878,830.0,-5.47,2781.25,2787.1,216.77
2022-05-27,Paradeep Phosphates Limited,1501.73,3.01,0.32,0.8,0.83,42,43.55,3.69,218.45,217.73,420.12
2022-05-24,Venus Pipes & Tubes Limited,165.42,12.02,6.59,11.12,8.69,326,335.0,2.76,1356.0,1351.2,315.95
2022-05-24,Delhivery Limited,5235.0,2.66,0.27,0.31,0.39,487,493.0,1.23,464.9,465.45,-4.54
2022-05-20,Prudent Corporate Advisory Services Limited,537.94,1.26,0.74,0.61,0.81,630,660.0,4.76,2665.65,2683.7,323.12
2022-05-17,Life Insurance Corporation of India (LIC),20557.2,2.83,1.39,1.14,1.64,949,867.2,-8.62,918.7,918.2,-3.19
2022-05-10,Rainbow Children’s Medicare Limited,1580.85,38.9,1.37,0.7,5.25,542,506.0,-6.64,1534.9,1534.2,183.19
2022-05-09,Campus Activewear (India) Limited,1399.6,152.04,10.68,4.73,28.55,292,355.0,21.58,260.6,260.15,-10.75
